Sample	Associatednumber	DNA_concentration_ng.uL	Station	StationNumber	Stromkilometer	Sample_type	Sample_date	Sat_O2_Perc	Temperature_TBDHereon	Salinity_PSU	Turbidity_NTU	pH	O2_uM	SPM_mgperL	DOC_mg.L	TN_mg.L	DIC_mg.L	Silicate_mg.L	Ammonium_mg.L	Nitrite_mg.L	Nitrate_mg.L	Total_DIN_uM	SRP_mgperL	TotalDissolvedPhosphate_mg.L	Ammonium_uM	Nitrite_uM	Nitrate_uM	SRP_uM	Phosphate_uM	Silicate_uM	DOC_uM/L	DIC_uM/L	RespirationRate_O2ug.L.h	POC_mgperL	PTC_mgperL	PTN_mgperL	PTH_mgperL	AccessionNumber_TBDSven
MH2	42	35	Muhlenberger Loch	2	632.884	Heavy_fraction	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	21	6.447	0.9963	16.45		0.046	0.046	1.786	189.021	0.07	0.081975	1.876	2.849	184.296	NA	2.653	147.606	536.7713789	1369.612096		1.771329921	2.194524597	3.33940857	0.88370118	
MF1	43	45	Muhlenberger Loch	2	632.884	Free_living	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	NA	6.818	1.163	18.36		0.058	0.068	2.527	189.021	0.081	0.079143	1.876	2.849	184.296	NA	2.653	147.606	567.6605027	1528.636965						
MF2	44	7	Muhlenberger Loch	2	632.884	Free_living	Jul 21	56.63	22.11	0.32	37.71	7.51	153.78	NA	6.447	0.9963	16.45		0.046	0.046	1.786	189.021	0.07	0.081975	1.876	2.849	184.296	NA	2.653	147.606	536.7713789	1369.612096						
SchL1	45	4.62	Schwarztonnensand	4	665.414	Light_fraction	Jul 21	63.44	22.75	0.48	33.2	7.69	170.12	38.25	4.55	0.7296	13.44		0.026	0.006	2.317	170.52	0.093	0.111125	0.372	0.122	170.026	NA	2.804	114.43	378.8288776	1119.002223		3.885339521	6.13779564	2.139538746	1.9637804	
SchL2	46	19	Schwarztonnensand	4	665.414	Light_fraction	Jul 21	63.44	22.75	0.48	33.2	7.69	170.12	38.25	4.498	0.6619	14.04		0.023	0.006	1.429	170.52	0.09	0.09477	0.372	0.122	170.026	NA	2.804	114.43	374.4994047	1168.957679		2.907376882	4.052260855	3.19016126	1.9637804	
SchH1	47	112	Schwarztonnensand	4	665.414	Heavy_fraction	Jul 21	63.44	22.75	0.48	33.2	7.69	170.12	55	4.55	0.7296	13.44		0.026	0.006	2.317	170.52	0.093	0.111125	0.372	0.122	170.026	NA	2.804	114.43	378.8288776	1119.002223		2.435087696	4.312461758	3.34039046	1.9637804	
SchH2	48	38	Schwarztonnensand	4	665.414	Heavy_fraction	Jul 21	63.44	22.75	0.48	33.2	7.69	170.12	55	4.498	0.6619	14.04		0.023	0.006	1.429	170.52	0.09	0.09477	0.372	0.122	170.026	NA	2.804	114.43	374.4994047	1168.957679		3.209799064	5.025314044	3.081171448	2.06196942	
SchF1	49	5.5	Schwarztonnensand	4	665.414	Free_living	Jul 21	63.44	22.75	0.48	33.2	7.69	170.12	NA	4.55	0.7296	13.44		0.026	0.006	2.317	170.52	0.093	0.111125	0.372	0.122	170.026	NA	2.804	114.43	378.8288776	1119.002223						
SchF2	50	4.56	Schwarztonnensand	4	665.414	Free_living	Jul 21	63.44	22.75	0.48	33.2	7.69	170.12	NA	4.498	0.6619	14.04		0.023	0.006	1.429	170.52	0.09	0.09477	0.372	0.122	170.026	NA	2.804	114.43	374.4994047	1168.957679						
MGL1	51	11	Meedem Grund	6	714.975	Light_fraction	Jul 21	75.97	21.67	5.02	21.69	7.91	202.39	26.75	3.234	0.5336	14.41		0.01	0.004	0.898	144.328	0.055	0.082876	1.145	0.713	142.47	NA	3.701	77.02	269.2599099	1199.763544		1.911740219	2.167031671	3.121428946	1.66921334	
MGL2	52	15	Meedem Grund	6	714.975	Light_fraction	Jul 21	75.97	21.67	5.02	21.69	7.91	202.39	26.75	4.088	0.6147	16.75		0.012	0.01	1.433	144.328	0.062	0.078424	1.145	0.713	142.47	NA	3.701	77.02	340.3631762	1394.589824		2.21023484	3.19016126	2.086516675	1.4728353	
